text,size
fracture,22
cross,22
activity,22
long,22
developed,22
tops,21
salt,21
operator,21
feather,21
cylinder,21
board,21
darkness,21
disoriented,21
russian,21
believed,21
effect,21
hijacked,21
preflight,21
coming,21
late,21
compartment,21
flap,21
subsequently,21
attributed,21
apart,21
crews,21
stated,21
execute,21
mount,21
included,21
united,21
rapid,21
charter,20
lift,20
summit,20
assembly,20
told,20
total,20
bound,20
taken,20
addition,20
rainstorm,20
piper,20
tip,20
engineer,20
wall,20
determine,20
program,20
edge,20
prop,20
contributed,19
r,19
yards,19
initiate,19
timely,19
lock,19
los,19
residential,19
recognize,19
francisco,19
established,19
swamp,19
using,19
parts,19
said,19
performing,19
awareness,19
injuries,19
contacted,19
southeast,19
departed,19
detect,19
evasive,19
skidded,19
glide,19
induced,19
warnings,19
survivor,19
heavily,19
brought,18
damaged,18
monitoring,18
investigation,18
going,18
twin,18
returned,18
installed,18
rules,18
santa,18
boeing,18
rotation,18
overcast,18
clipped,18
beach,18
float,18
deviated,18
british,18
touch,18
mph,18
run,18
drag,18
times,18
gust,18
state,18
wheel,18
combination,18
preparation,18
french,18
track,18
embankment,18
sink,18
ravine,18
andes,18
encounter,18
earth,18
head,18
thirty,18
gulf,18
executing,18
breaking,18
checklist,18
closed,18
localizer,17
volcano,17
saw,17
debris,17
turbine,17
delayed,17
offshore,17
abort,17
nosed,17
remaining,17
helicopters,17
president,17
navy,17
little,17
france,17
inflight,17
enter,17
ignition,17
neighborhood,17
initiating,17
day,17
reporting,17
report,17
vibration,17
touchdown,17
place,17
outside,17
violent,17
v,17
distress,17
drifted,17
preparing,17
g,17
spiral,17
cliff,17
unit,16
directional,16
survivors,16
showed,16
singer,16
ditching,16
pulled,16
revealed,16
boat,16
large,16
downdrafts,16
highway,16
ignited,16
crack,16
indications,16
angeles,16
approached,16
airstrip,16
ambulance,16
incorrectly,16
penetrated,16
change,16
german,16
exhaustion,16
systems,16
taxi,16
marginal,16
outer,16
limit,16
ceilings,16
fighters,16
man,16
rock,16
fast,16
declared,16
tour,16
wake,16
establish,16
response,16
airframe,16
park,16
aileron,16
desert,16
apparently,16
surrounding,16
drowned,16
ensure,16
attention,16
minimums,15
inside,15
dived,15
corrected,15
alert,15
leg,15
sharply,15
communication,15
stage,15
bearing,15
denver,15
john,15
